algorithm,params,run-id,0-FNR,0-FNR_over_1-FNR,0-FPR,0-FPR_over_1-FPR,0-TNR,0-TNR_over_1-TNR,0-TPR,0-TPR_over_1-TPR,0-accuracy,0-accuracy_over_1-accuracy,0-calibration+,0-calibration+_over_1-calibration+,0-calibration-,0-calibration-_over_1-calibration-,1-FNR,1-FPR,1-TNR,1-TPR,1-accuracy,1-calibration+,1-calibration-,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy,age-FNR,age-FNRDiff,age-FNRRatio,age-FPR,age-FPRDiff,age-FPRRatio,age-TNR,age-TNRDiff,age-TNRRatio,age-TPR,age-TPRDiff,age-TPRRatio,age-accuracy,age-accuracyDiff,age-accuracyRatio,age-calibration+,age-calibration+Diff,age-calibration+Ratio,age-calibration-,age-calibration-Diff,age-calibration-Ratio,diff:1-FNRto0-FNR,diff:1-FPRto0-FPR,diff:1-TNRto0-TNR,diff:1-TPRto0-TPR,diff:1-accuracyto0-accuracy,diff:1-calibration+to0-calibration+,diff:1-calibration-to0-calibration-
GaussianNB,,0,0.17391304347826086,0.31309172043659167,0.4883268482490273,6.675513686941087,0.5116731517509727,0.5520572138526142,0.8260869565217391,1.8583377288825258,0.6088709677419355,0.6929709366430127,0.4308390022675737,1.069257281190928,0.132013201320132,2.1155069737209504,0.5554699537750385,0.07315195071868585,0.9268480492813141,0.4445300462249615,0.8786385338056368,0.4029329608938548,0.06240263112342046,0.7056612361204198,1.4824693342209725,5.375242160749685,5.375242160749685,0.3768802039765584,0.9093591214554991,0.5019633507853403,0.8640203932993445,0.3646914986266497,0.6184430897032224,0.31309172043659167,0.28073939948385657,1.4151748975303415,6.675513686941087,0.7192606005161435,0.5848251024696586,0.5520572138526142,0.6353085013733504,1.3815569102967777,1.8583377288825258,0.7437547507737862,0.7302324339362987,0.6929709366430127,0.4168859815807142,1.0279060413737189,1.069257281190928,0.09720791622177623,1.0696105701967116,2.1155069737209504,0.6184430897032224,1.4151748975303415,0.5848251024696586,1.3815569102967777,0.7302324339362987,1.0279060413737189,1.0696105701967116
GaussianNB,,1,0.1452282157676349,0.2807006429951539,0.4910536779324056,6.394610117075324,0.5089463220675944,0.551280119651775,0.8547717842323651,1.7710983287040494,0.6209677419354839,0.705440214922071,0.45474613686534215,1.1245849636719019,0.12027491408934708,2.1071063193515385,0.5173775671406002,0.07679180887372017,0.9232081911262798,0.4826224328593997,0.8802556599414755,0.4043679682329583,0.05708061002178649,0.7241486062396862,1.4925148919680251,5.232824875643133,5.232824875643133,0.40024545291256974,0.9061605170580054,0.542136695421367,0.8662053896576839,0.33130289145411757,0.6278506486270347,0.2807006429951539,0.2839227434030629,1.4142618690586855,6.394610117075324,0.7160772565969371,0.5857381309413145,0.551280119651775,0.6686971085458824,1.3721493513729655,1.7710983287040494,0.7506117009384796,0.7407120819940084,0.705440214922071,0.4295570525491502,1.0503781686323839,1.1245849636719019,0.0886777620555668,1.0631943040675607,2.1071063193515385,0.6278506486270347,1.4142618690586855,0.5857381309413145,1.3721493513729655,0.7407120819940084,1.0503781686323839,1.0631943040675607
GaussianNB,,2,0.16033755274261607,0.28874252134855405,0.4760076775431862,6.021188025026794,0.5239923224568138,0.5689727113410665,0.8396624472573839,1.8881376222039945,0.6226912928759895,0.7126203309384505,0.4451901565995526,1.1656029494156412,0.12218649517684887,1.9668084223628255,0.5552959501557633,0.07905544147843946,0.9209445585215605,0.4447040498442368,0.8738051187172371,0.38193979933110367,0.06212424849699399,0.7051255664479201,1.474461535582627,5.116866247209256,5.116866247209256,0.369496021490965,0.9040052420345647,0.5062458908612755,0.8599417334304443,0.3578167514491897,0.6050416025868528,0.28874252134855405,0.2775315595108128,1.3969522360647466,6.021188025026794,0.7224684404891872,0.6030477639352533,0.5689727113410665,0.6421832485508103,1.3949583974131472,1.8881376222039945,0.7482482057966133,0.7488861741587524,0.7126203309384505,0.4135649779653281,1.0632503572684489,1.1656029494156412,0.09215537183692143,1.0600622466798548,1.9668084223628255,0.6050416025868528,1.3969522360647466,0.6030477639352533,1.3949583974131472,0.7488861741587524,1.0632503572684489,1.0600622466798548
GaussianNB,,3,0.22891566265060237,0.41609354669730814,0.5169172932330828,6.845042293233087,0.4830827067669173,0.5225436537598521,0.7710843373493976,1.7141085783959165,0.5749039692701664,0.6555505017681741,0.41113490364025695,1.03171589026706,0.18152866242038215,2.9243172742784145,0.5501543209876543,0.0755170342401098,0.9244829657598902,0.4498456790123457,0.8769789172909105,0.39849624060150374,0.06207557025944628,0.7034147241887142,1.484969647001845,5.29246203624531,5.29246203624531,0.3698875658516342,0.9052113254000821,0.5016181229773463,0.859796067006555,0.3895349918191283,0.6787613416629481,0.41609354669730814,0.2962171637365963,1.441400258992973,6.845042293233087,0.7037828362634038,0.5585997410070271,0.5225436537598521,0.6104650081808717,1.321238658337052,1.7141085783959165,0.7259414432805384,0.6979250519792559,0.6555505017681741,0.4048155721208804,1.0126386630387532,1.03171589026706,0.12180211633991422,1.1194530921609358,2.9243172742784145,0.6787613416629481,1.441400258992973,0.5585997410070271,1.321238658337052,0.6979250519792559,1.0126386630387532,1.1194530921609358
GaussianNB,,4,0.17991631799163177,0.3297630563746343,0.4365079365079365,5.979441463596388,0.5634920634920635,0.6078672588054231,0.8200836820083682,1.8047326513762751,0.6460296096904441,0.7348678760663745,0.47115384615384615,1.1424298945201954,0.13149847094801223,2.112949664801138,0.5455927051671732,0.07300145660183366,0.9269985433981663,0.45440729483282677,0.8791098791098791,0.4124137931034483,0.06223454970962989,0.711280825580858,1.4482422167482731,5.014704599248154,5.014704599248154,0.3907674436370874,0.9119507186858317,0.5106109324758843,0.8664967225054625,0.36275451157940247,0.6343236128244586,0.3297630563746343,0.2547546965548851,1.363506479906103,5.979441463596388,0.745245303445115,0.6364935200938971,0.6078672588054231,0.6372454884205975,1.3656763871755415,1.8047326513762751,0.7625697444001616,0.766919730580565,0.7348678760663745,0.4417838196286472,1.0587400530503979,1.1424298945201954,0.09686651032882106,1.0692639212383823,2.112949664801138,0.6343236128244586,1.363506479906103,0.6364935200938971,1.3656763871755415,0.766919730580565,1.0587400530503979,1.0692639212383823
GaussianNB,,5,0.14473684210526316,0.2624990849864578,0.4824902723735408,6.578082079827829,0.5175097276264592,0.5584726754952941,0.8552631578947368,1.9064327485380117,0.6212938005390836,0.7070946268315473,0.4401805869074492,1.0850263355906697,0.11036789297658862,1.7723333689953995,0.5513803680981595,0.07334816843546732,0.9266518315645327,0.4486196319018405,0.8786572220511241,0.4056865464632455,0.062272648536289624,0.7092748800578103,1.4860094783739832,5.377455690097985,5.377455690097985,0.38291077259568257,0.9094113789145761,0.5091383812010444,0.864748725418791,0.3480586051017113,0.5933564740071037,0.2624990849864578,0.27791922040450406,1.4091421039380734,6.578082079827829,0.722080779595496,0.5908578960619265,0.5584726754952941,0.6519413948982886,1.4066435259928962,1.9064327485380117,0.7499755112951039,0.7426365784879595,0.7070946268315473,0.4229335666853473,1.0344940404442038,1.0850263355906697,0.08632027075643912,1.0480952444402991,1.7723333689953995,0.5933564740071037,1.4091421039380734,0.5908578960619265,1.4066435259928962,0.7426365784879595,1.0344940404442038,1.0480952444402991
GaussianNB,,6,0.14473684210526316,0.26977454380938015,0.46718146718146714,6.48228156897991,0.5328185328185329,0.5742015421934249,0.8552631578947368,1.8452692676966045,0.631367292225201,0.7163293360933249,0.4462242562929062,1.0693101995742114,0.10679611650485436,1.765501989039419,0.536510376633359,0.072070529829667,0.927929470170333,0.46348962336664107,0.881392483056069,0.41730103806228375,0.060490510442846,0.7165322841532304,1.4745000652483815,5.263604738536323,5.263604738536323,0.39611544541018956,0.9111548233751332,0.5219097449313277,0.8678077203204662,0.3406236093693111,0.6082264654719042,0.26977454380938015,0.26962599850556707,1.3951109373518,6.48228156897991,0.7303740014944329,0.6048890626481999,0.5742015421934249,0.659376390630689,1.3917735345280957,1.8452692676966045,0.756379887640635,0.7499748091691321,0.7163293360933249,0.43176264717759494,1.0289232182306225,1.0693101995742114,0.08364331347385018,1.0463056060620084,1.765501989039419,0.6082264654719042,1.3951109373518,0.6048890626481999,1.3917735345280957,0.7499748091691321,1.0289232182306225,1.0463056060620084
GaussianNB,,7,0.15668202764976957,0.2879032258064516,0.5069860279441119,6.59928694948633,0.4930139720558882,0.5340413603337297,0.8433179723502304,1.850264805007222,0.5988857938718662,0.6839303097999583,0.41876430205949655,1.0423967120917152,0.12099644128113879,1.9344306049822064,0.5442176870748299,0.07682436478740695,0.923175635212593,0.4557823129251701,0.8756532431601598,0.40173217854763493,0.06254886630179828,0.7079429594195796,1.4932800406224551,5.276189132964282,5.276189132964282,0.3769344292470728,0.9054963084495488,0.5103896103896104,0.8611798980335033,0.3504498573622997,0.6124643405749397,0.2879032258064516,0.2919051963657594,1.430161663156705,6.59928694948633,0.7080948036342406,0.5698383368432951,0.5340413603337297,0.6495501426377003,1.3875356594250603,1.850264805007222,0.737269518516013,0.7232325507117064,0.6839303097999583,0.41024824030356577,1.0170321235118616,1.0423967120917152,0.09177265379146854,1.0584475749793405,1.9344306049822064,0.6124643405749397,1.430161663156705,0.5698383368432951,1.3875356594250603,0.7232325507117064,1.0170321235118616,1.0584475749793405
GaussianNB,,8,0.2024793388429752,0.3645182078212796,0.4675572519083969,6.231243558614424,0.5324427480916031,0.5756351521970478,0.7975206611570248,1.7940806668079394,0.6161879895561357,0.7032539040941759,0.4406392694063927,1.0989618701947468,0.14939024390243902,2.35121033665877,0.5554711246200608,0.07503434065934067,0.9249656593406593,0.44452887537993924,0.8761956186362234,0.4009595613433859,0.06353759235115167,0.7037129239142678,1.45925914140222,5.080764571033845,5.080764571033845,0.3744830616396198,0.9080676963522839,0.4993581514762516,0.8616897305171158,0.378975231731518,0.6470082142229144,0.3645182078212796,0.2712957962838688,1.3925229112490562,6.231243558614424,0.7287042037161312,0.6074770887509438,0.5756351521970478,0.621024768268482,1.3529917857770855,1.7940806668079394,0.7461918040961796,0.7399923709199123,0.7032539040941759,0.4207994153748893,1.039679708063007,1.0989618701947468,0.10646391812679534,1.0858526515512874,2.35121033665877,0.6470082142229144,1.3925229112490562,0.6074770887509438,1.3529917857770855,0.7399923709199123,1.039679708063007,1.0858526515512874
GaussianNB,,9,0.19367588932806323,0.344086468293747,0.48425196850393704,6.436561920034599,0.515748031496063,0.5577068679037293,0.8063241106719368,1.84458578278927,0.6123521681997371,0.7006877774291858,0.4533333333333333,1.1237450648618161,0.15755627009646303,2.3817704746251125,0.5628698224852071,0.07523457002668499,0.924765429973315,0.4371301775147929,0.8739301411057137,0.40341296928327647,0.0661509040333797,0.7014779843915598,1.4783655232040744,5.234759365483713,5.234759365483713,0.37371001191228975,0.9076288659793814,0.4953271028037383,0.8594319009468318,0.3782728559066352,0.6308060668428561,0.344086468293747,0.279743269265311,1.409017398477252,6.436561920034599,0.720256730734689,0.590982601522748,0.5577068679037293,0.6217271440933648,1.3691939331571439,1.84458578278927,0.7431411546527253,0.7384220270940235,0.7006877774291858,0.4283731513083049,1.049920364050057,1.1237450648618161,0.11185358706492136,1.0914053660630834,2.3817704746251125,0.6308060668428561,1.409017398477252,0.590982601522748,1.3691939331571439,0.7384220270940235,1.049920364050057,1.0914053660630834
