algorithm,params,run-id,0-FNR,0-FNR_over_1-FNR,0-FPR,0-FPR_over_1-FPR,0-TNR,0-TNR_over_1-TNR,0-TPR,0-TPR_over_1-TPR,0-accuracy,0-accuracy_over_1-accuracy,0-calibration+,0-calibration+_over_1-calibration+,0-calibration-,0-calibration-_over_1-calibration-,1-FNR,1-FPR,1-TNR,1-TPR,1-accuracy,1-calibration+,1-calibration-,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy,diff:1-FNRto0-FNR,diff:1-FPRto0-FPR,diff:1-TNRto0-TNR,diff:1-TPRto0-TPR,diff:1-accuracyto0-accuracy,diff:1-calibration+to0-calibration+,diff:1-calibration-to0-calibration-,marital-FNR,marital-FNRDiff,marital-FNRRatio,marital-FPR,marital-FPRDiff,marital-FPRRatio,marital-TNR,marital-TNRDiff,marital-TNRRatio,marital-TPR,marital-TPRDiff,marital-TPRRatio,marital-accuracy,marital-accuracyDiff,marital-accuracyRatio,marital-calibration+,marital-calibration+Diff,marital-calibration+Ratio,marital-calibration-,marital-calibration-Diff,marital-calibration-Ratio
Kamishima-accuracy,eta=0.0,6,0.6545667447306791,0.9762857939182462,0.029657643312101856,1.3407862042416148,0.9703423566878981,0.9922914380845173,0.34543325526932084,1.0482487148896056,0.8795508676420551,0.9667277769289112,0.6644144144144144,1.044676752223922,0.10287081339712918,1.382157621114751,0.6704663212435233,0.022119591638308234,0.9778804083616918,0.3295336787564767,0.9098226911780702,0.636,0.07442770044863684,0.6560104944172648,1.0211466873825585,1.3888029942157194,1.3888029942157194,0.41949800737364273,0.9750226380923634,0.33699835074216605,0.8980160573286444,0.9841004234871558,1.0075380516737935,0.9924619483262064,1.0158995765128442,0.9697281764639849,1.0284144144144145,1.0284431129484923,0.6625165329871012,0.9841004234871558,0.9762857939182462,0.025888617475205045,1.0075380516737935,1.3407862042416148,0.9741113825247949,0.9924619483262064,0.9922914380845173,0.3374834670128988,1.0158995765128442,1.0482487148896056,0.8946867794100627,0.9697281764639849,0.9667277769289112,0.6502072072072071,1.0284144144144145,1.044676752223922,0.088649256922883,1.0284431129484923,1.382157621114751
Kamishima-accuracy,eta=0.0,7,0.6172985781990521,0.8980667112309505,0.035310183378852944,1.689726494673415,0.9646898166211471,0.9852791774102404,0.38270142180094785,1.2241111679904884,0.8824120603015075,0.9676867286183902,0.6408730158730159,1.0227172169680883,0.09531650201244055,1.3055792819231755,0.687363834422658,0.02089698154710984,0.9791030184528902,0.31263616557734203,0.9118778156246566,0.6266375545851528,0.0730070577345829,0.6598746173742107,1.0340979703483906,1.6775668736696583,1.6775668736696583,0.4202904535470295,0.9735517319107371,0.34619750283768447,0.900205693052883,0.9299347437763941,1.014413201831743,0.9855867981682569,1.070065256223606,0.9705342446768509,1.0142354612878632,1.0223094442778577,0.6523312063108551,0.9299347437763941,0.8980667112309505,0.02810358246298139,1.014413201831743,1.689726494673415,0.9718964175370186,0.9855867981682569,0.9852791774102404,0.34766879368914494,1.070065256223606,1.2241111679904884,0.897144937963082,0.9705342446768509,0.9676867286183902,0.6337552852290844,1.0142354612878632,1.0227172169680883,0.08416177987351173,1.0223094442778577,1.3055792819231755
Kamishima-accuracy,eta=30.0,8,0.6052631578947368,0.8894652496626181,0.03521815691645469,1.7517297806869274,0.9647818430835453,0.9845765464047074,0.39473684210526316,1.2354050655649362,0.8846477215402724,0.9683894194761182,0.6470588235294118,1.011443485243927,0.09306602906014347,1.2924843074282106,0.6804798255179935,0.020104788595101786,0.9798952114048982,0.31952017448200654,0.9135247698377904,0.6397379912663755,0.07200553888760673,0.6647429840951435,1.0355602429085151,1.7084097299067529,1.7084097299067529,0.4308776384072804,0.9740952094909145,0.3553907586993725,0.9021299183863049,0.9247833323767434,1.015113368321353,0.9848866316786471,1.0752166676232566,0.971122951702482,1.0073208322630363,1.0210604901725366,0.6428714917063652,0.9247833323767434,0.8894652496626181,0.027661472755778238,1.015113368321353,1.7517297806869274,0.9723385272442218,0.9848866316786471,0.9845765464047074,0.35712850829363485,1.0752166676232566,1.2354050655649362,0.8990862456890314,0.971122951702482,0.9683894194761182,0.6433984073978937,1.0073208322630363,1.011443485243927,0.0825357839738751,1.0210604901725366,1.2924843074282106
Kamishima-accuracy,eta=3.0,9,0.6427732079905992,0.9362131507689163,0.02919566898685233,1.252787700970224,0.9708043310131477,0.9939683278016195,0.3572267920094007,1.1397235745061831,0.8841109081852897,0.9737596466537433,0.6681318681318681,1.0976452119309261,0.09823994252873564,1.3065607263332621,0.6865671641791045,0.023304562268803952,0.976695437731196,0.31343283582089554,0.9079354553492485,0.6086956521739131,0.075189725627554,0.654333199026425,1.0221617860975896,1.4151549495051576,1.4151549495051576,0.4132450532844993,0.9744014455654268,0.33426495248742316,0.8984141729148696,0.9562060438114948,1.0058911067180483,0.9941088932819516,1.0437939561885052,0.9761754528360412,1.059436215957955,1.0230502169011817,0.6646701860848518,0.9562060438114948,0.9362131507689163,0.02625011562782814,1.0058911067180483,1.252787700970224,0.9737498843721719,0.9941088932819516,0.9939683278016195,0.33532981391514816,1.0437939561885052,1.1397235745061831,0.896023181767269,0.9761754528360412,0.9737596466537433,0.6384137601528905,1.059436215957955,1.0976452119309261,0.08671483407814481,1.0230502169011817,1.3065607263332621
Kamishima-DIavgall,eta=300.0,0,0.49763033175355453,0.9054627089049638,0.09191820837390463,1.4415898162733627,0.9080817916260954,0.9699259104878252,0.5023696682464455,1.1153528414278882,0.8508111724368623,0.9618969385471217,0.4732142857142857,1.0354275884665793,0.08262836907338186,1.2639655404495895,0.5495867768595042,0.06376169374692264,0.9362383062530774,0.45041322314049587,0.8845138583369996,0.4570230607966457,0.06537232735315802,0.6999737110550258,1.0449304270475333,1.428204866578798,1.428204866578798,0.3963869673176679,0.9253337355758353,0.4746136865342163,0.8711432552584434,0.9480435548940503,1.028156514626982,0.971843485373018,1.0519564451059495,0.9662973140998627,1.0161912249176401,1.0172560417202239,0.5236085543065294,0.9480435548940503,0.9054627089049638,0.07783995106041364,1.028156514626982,1.4415898162733627,0.9221600489395864,0.971843485373018,0.9699259104878252,0.4763914456934707,1.0519564451059495,1.1153528414278882,0.867662515386931,0.9662973140998627,0.9618969385471217,0.4651186732554657,1.0161912249176401,1.0354275884665793,0.07400034821326995,1.0172560417202239,1.2639655404495895
Kamishima-DIavgall,eta=300.0,1,0.6238938053097345,1.048279979716356,0.04749854000389331,1.007142671988558,0.9525014599961067,0.9996464663515614,0.37610619469026546,0.9290231819930742,0.8662473100480053,0.9649905267374153,0.5821917808219178,1.1881142048838595,0.10335349092908191,1.5816331818888525,0.5951595159515952,0.04716167959610884,0.9528383204038912,0.40484048404840484,0.8976744186046511,0.49001331557922767,0.06534605628699118,0.6716103805031245,1.013505515925414,1.162389891886137,1.162389891886137,0.39295306933922797,0.9527077990647156,0.39051296194153334,0.8850773007763254,1.0287342893581393,1.0003368604077845,0.9996631395922155,0.9712657106418606,0.9685728914433541,1.0921784652426902,1.0380074346420907,0.6095266606306649,1.0287342893581393,1.048279979716356,0.047330109800001074,1.0003368604077845,1.007142671988558,0.9526698901999989,0.9996631395922155,0.9996464663515614,0.39047333936933515,0.9712657106418606,0.9290231819930742,0.8819608643263281,0.9685728914433541,0.9649905267374153,0.5361025482005728,1.0921784652426902,1.1881142048838595,0.08434977360803655,1.0380074346420907,1.5816331818888525
Kamishima-DIavgall,eta=150.0,2,0.6646562123039808,1.0199411942098915,0.022375215146299476,0.7089872093415683,0.9776247848537005,1.0094834839128306,0.3353437876960193,0.9626946274473416,0.8897325850115549,0.9839459863446803,0.7037974683544304,1.2560077896786759,0.0972982518099947,1.3495331538054034,0.6516613076098607,0.03155940594059403,0.968440594059406,0.3483386923901393,0.9042494175080439,0.5603448275862069,0.07209771137199099,0.6571368670070324,1.0008515450171256,1.0132327159299188,1.0132327159299188,0.41051922163236676,0.9720489894056653,0.3422247446083995,0.8984141729148696,1.01299490469412,0.9908158092057054,1.0091841907942944,0.98700509530588,0.9854831675035111,1.1434526407682235,1.0252005404380038,0.6581587599569207,1.01299490469412,1.0199411942098915,0.026967310543446754,0.9908158092057054,0.7089872093415683,0.9730326894565533,1.0091841907942944,1.0094834839128306,0.3418412400430793,0.98700509530588,0.9626946274473416,0.8969910012597995,0.9854831675035111,0.9839459863446803,0.6320711479703186,1.1434526407682235,1.2560077896786759,0.08469798159099284,1.0252005404380038,1.3495331538054034
Kamishima-DIavgall,eta=300.0,3,0.6711165048543689,1.0575515621640397,0.028174450019297526,0.7908276660589032,0.9718255499807025,1.007727385585085,0.3288834951456311,0.9000509852358247,0.8836163836163836,0.9782587344262967,0.6498800959232613,1.2074695273367104,0.09894435498300233,1.4221354735802225,0.6345945945945946,0.035626535626535616,0.9643734643734644,0.3654054054054054,0.9032542746828461,0.5382165605095541,0.06957449330330687,0.6577355760973157,1.0001531287245573,1.0022103692485858,1.0022103692485858,0.3977536822400259,0.967272181354151,0.3481989708404803,0.8954283060181806,1.0365219102597742,0.9925479143927619,1.007452085607238,0.9634780897402258,0.9803621089335375,1.1116635354137072,1.0293698616796956,0.6528555497244817,1.0365219102597742,1.0575515621640397,0.03190049282291657,0.9925479143927619,0.7908276660589032,0.9680995071770835,1.007452085607238,1.007727385585085,0.3471444502755182,0.9634780897402258,0.9000509852358247,0.8934353291496149,0.9803621089335375,0.9782587344262967,0.5940483282164077,1.1116635354137072,1.2074695273367104,0.0842594241431546,1.0293698616796956,1.4221354735802225
Kamishima-DIavgall,eta=300.0,4,0.47100591715976337,0.9074239267959155,0.08860518292682928,1.1518673780487814,0.9113948170731707,0.9873443851626016,0.5289940828402366,1.0999131046468325,0.8583620548170031,0.9763555717910876,0.4901315789473684,1.2007652435284015,0.07681914688284115,1.3152167977111917,0.5190582959641256,0.07692307692307687,0.9230769230769231,0.48094170403587444,0.8791490309645801,0.4081826831588963,0.058407972751356126,0.7113984326690401,1.0326160265494986,1.2786172087168395,1.2786172087168395,0.40112850711009684,0.9184790760461977,0.5043177892918825,0.8707451396722181,0.9519476211956378,1.0116821060037524,0.9883178939962476,1.0480523788043623,0.979213023852423,1.0819488957884722,1.018411174131485,0.49503210656194446,0.9519476211956378,0.9074239267959155,0.08276412992495308,1.0116821060037524,1.1518673780487814,0.9172358700750469,0.9883178939962476,0.9873443851626016,0.5049678934380555,1.0480523788043623,1.0999131046468325,0.8687555428907916,0.979213023852423,0.9763555717910876,0.4491571310531324,1.0819488957884722,1.2007652435284015,0.06761355981709864,1.018411174131485,1.3152167977111917
Kamishima-DIavgall,eta=100.0,5,0.7071428571428571,1.0783643892339543,0.022291141694126715,0.8624548869751406,0.9777088583058733,1.0036493333841088,0.29285714285714287,0.8507230499561789,0.8818136356059343,0.9707333214679087,0.6814404432132964,1.1204051458967081,0.10535650940049664,1.4481854496660858,0.6557550158394931,0.025846153846153852,0.9741538461538461,0.34424498416050686,0.9083994708994709,0.6082089552238806,0.07275070290534208,0.6478120065507065,1.0010938036997936,1.0185130357547154,1.0185130357547154,0.4039466234292953,0.9755344775669978,0.3200895355344152,0.8978169995355318,1.051387841303364,0.9964449878479729,1.0035550121520271,0.9486121586966361,0.9734141647064634,1.0732314879894158,1.0326058064951547,0.6814489364911751,1.051387841303364,1.0783643892339543,0.024068647770140283,0.9964449878479729,0.8624548869751406,0.9759313522298597,1.0035550121520271,1.0036493333841088,0.3185510635088249,0.9486121586966361,0.8507230499561789,0.8951065532527026,0.9734141647064634,0.9707333214679087,0.6448246992185885,1.0732314879894158,1.1204051458967081,0.08905360615291935,1.0326058064951547,1.4481854496660858
Kamishima-DIavgall,eta=10.0,6,0.6709601873536299,0.99611781660962,0.028065286624203822,1.2900624488488777,0.9719347133757962,0.993549362859492,0.32903981264637,1.0080108546150701,0.8785301122830895,0.9656058491413728,0.6658767772511849,1.0442638982923345,0.10502199413489736,1.4055174261222647,0.6735751295336787,0.021754982984929505,0.9782450170150705,0.32642487046632124,0.9098226911780702,0.6376518218623481,0.07472123232555467,0.6517526289143324,1.0180565882431887,1.3360206795943979,1.3360206795943979,0.41382870169962727,0.975852701479022,0.3276525563496427,0.8976179417424193,0.9973850578199512,1.0063103036392742,0.9936896963607257,1.0026149421800488,0.9687074211050193,1.0282249553888367,1.0303007618093427,0.6722676584436543,0.9973850578199512,0.99611781660962,0.024910134804566664,1.0063103036392742,1.2900624488488777,0.9750898651954334,0.9936896963607257,0.993549362859492,0.3277323415563456,1.0026149421800488,1.0080108546150701,0.8941764017305799,0.9687074211050193,0.9656058491413728,0.6517642995567665,1.0282249553888367,1.0442638982923345,0.08987161323022602,1.0303007618093427,1.4055174261222647
Kamishima-DIavgall,eta=300.0,7,0.6172985781990521,0.8980667112309505,0.035310183378852944,1.689726494673415,0.9646898166211471,0.9852791774102404,0.38270142180094785,1.2241111679904884,0.8824120603015075,0.9676867286183902,0.6408730158730159,1.0227172169680883,0.09531650201244055,1.3055792819231755,0.687363834422658,0.02089698154710984,0.9791030184528902,0.31263616557734203,0.9118778156246566,0.6266375545851528,0.0730070577345829,0.6598746173742107,1.0340979703483906,1.6775668736696583,1.6775668736696583,0.4202904535470295,0.9735517319107371,0.34619750283768447,0.900205693052883,0.9299347437763941,1.014413201831743,0.9855867981682569,1.070065256223606,0.9705342446768509,1.0142354612878632,1.0223094442778577,0.6523312063108551,0.9299347437763941,0.8980667112309505,0.02810358246298139,1.014413201831743,1.689726494673415,0.9718964175370186,0.9855867981682569,0.9852791774102404,0.34766879368914494,1.070065256223606,1.2241111679904884,0.897144937963082,0.9705342446768509,0.9676867286183902,0.6337552852290844,1.0142354612878632,1.0227172169680883,0.08416177987351173,1.0223094442778577,1.3055792819231755
Kamishima-DIavgall,eta=300.0,8,0.5550239234449761,0.9477782826797823,0.05810995891215032,1.229145445340251,0.9418900410878497,0.9886291811239266,0.4449760765550239,1.0737975321077815,0.8720363208340339,0.9704182694584371,0.5560538116591929,1.1238140193533162,0.08791208791208792,1.3679579266171447,0.5856052344601963,0.04727671499939079,0.9527232850006092,0.4143947655398037,0.8986190267426567,0.4947916666666667,0.06426519865964576,0.6887723720270325,1.0283200862330095,1.3364485244661173,1.3364485244661173,0.41213439753138076,0.9485658507283375,0.4289788933257273,0.8881295202707186,0.9694186889847798,1.0108332439127596,0.9891667560872405,1.0305813110152202,0.9734172940913772,1.0612621449925261,1.0236468892524422,0.5703145789525862,0.9694186889847798,0.9477782826797823,0.05269333695577055,1.0108332439127596,1.229145445340251,0.9473066630442295,0.9891667560872405,0.9886291811239266,0.4296854210474138,1.0305813110152202,1.0737975321077815,0.8853276737883453,0.9734172940913772,0.9704182694584371,0.5254227391629298,1.0612621449925261,1.1238140193533162,0.07608864328586684,1.0236468892524422,1.3679579266171447
Kamishima-DIavgall,eta=300.0,9,0.5464159811985899,0.9509057335144292,0.06670533642691412,1.0343791174422063,0.9332946635730859,0.9976301201499573,0.4535840188014101,1.0663203249015605,0.8655155238253363,0.9806141321777665,0.5280437756497948,1.2201913813260923,0.08786848072562359,1.324711084186303,0.5746268656716418,0.06448828606658441,0.9355117139334156,0.4253731343283582,0.8826259946949602,0.43275488069414314,0.06633029780950037,0.6867205089510771,1.0194671164015687,1.1910395544483672,1.1910395544483672,0.38652590512024415,0.9346483963258545,0.4387926215762996,0.8757879370977374,0.9717891155269481,1.0022170503603296,0.9977829496396703,1.0282108844730518,0.9828895291303761,1.0952888949556516,1.0215381829161232,0.5605214234351159,0.9717891155269481,0.9509057335144292,0.06559681124674926,1.0022170503603296,1.0343791174422063,0.9344031887532507,0.9977829496396703,0.9976301201499573,0.43947857656488415,1.0282108844730518,1.0663203249015605,0.8740707592601482,0.9828895291303761,0.9806141321777665,0.48039932817196895,1.0952888949556516,1.2201913813260923,0.07709938926756198,1.0215381829161232,1.324711084186303
Feldman-SVM,lambda=1.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.858839270781067,0.9611726550888062,1.0,1.0,0.14116072921893294,1.325860898820804,1.0,0.0,1.0,0.0,0.893532776066872,1.0,0.10646722393312802,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.8797690929599894,1.0,1.0,1.0,1.0,0.965306494714195,1.0,1.0346935052858048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8761860234239696,0.965306494714195,0.9611726550888062,1.0,1.0,1.0,0.12381397657603048,1.0346935052858048,1.325860898820804
Feldman-SVM,lambda=1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8503559013408376,0.9455379619637684,1.0,1.0,0.1496440986591624,1.4865634883302932,1.0,0.0,1.0,0.0,0.8993355481727575,1.0,0.10066445182724253,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.8797027403622851,1.0,1.0,1.0,1.0,0.9510203531680801,1.0,1.04897964683192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8748457247567976,0.9510203531680801,0.9455379619637684,1.0,1.0,1.0,0.12515427524320247,1.04897964683192,1.4865634883302932
Feldman-SVM,lambda=1.0,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8631561571475734,0.9628250549964207,1.0,1.0,0.13684384285242654,1.321943789527246,1.0,0.0,1.0,0.0,0.8964828580938644,1.0,0.10351714190613558,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.8830867228451994,1.0,1.0,1.0,1.0,0.966673299053709,1.0,1.033326700946291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8798195076207189,0.966673299053709,0.9628250549964207,1.0,1.0,1.0,0.12018049237928105,1.033326700946291,1.321943789527246
