,model,seed,settings,base_rates,hash_train,hash_test,accuracy,balanced accuracy,f1,precision,true positive rate,true negative rate,false positive rate,false negative rate,selection rate,count,equalized_odds_difference,equalized_odds_ratio,demographic_parity_difference,demographic_parity_ratio
CatBoost,CatBoost,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.9077236132000354,0.6988408400859605,0.5295444294091114,0.7115151515151515,0.42169540229885055,0.9759862778730704,0.024013722126929673,0.5783045977011494,0.07298947182164027,11303,0.019465969048722886,0.7319149642709637,0.03015365349250365,0.6755182607338664
ExtraTreesGini,ExtraTreesGini,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.8965761302309121,0.6489510233027972,0.43279961183891313,0.6666666666666666,0.3204022988505747,0.9774997477550197,0.022500252244980326,0.6795977011494253,0.05918782624082102,11303,0.06117920540997468,0.8196823419495484,0.018596415804296287,0.7427093293916409
ExtraTreesEntr,ExtraTreesEntr,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.8987879324073255,0.6548434442979297,0.4462729912875121,0.6839762611275965,0.3311781609195402,0.9785087276763192,0.021491272323680758,0.6688218390804598,0.05963018667610369,11303,0.06518268056729593,0.813340505648198,0.020473762487650482,0.7239065615589412
NeuralNetFastAI,NeuralNetFastAI,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.9031230646730957,0.7008486883840896,0.5237059591126576,0.6637265711135611,0.4324712643678161,0.9692261124003633,0.030773887599636767,0.5675287356321839,0.08024418296027604,11303,0.08353292007138163,0.7260788690476191,0.030466467490880278,0.6985423216691846
XGBoost,XGBoost,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.9094045828541095,0.7309827580408161,0.5733333333333334,0.6825396825396826,0.4942528735632184,0.9677126425184139,0.032287357481586114,0.5057471264367817,0.08917986375298594,11303,0.039414861911384935,0.720791948146109,0.039207670485731094,0.6613305003448741
LinearModel,LinearModel,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.902680704237813,0.6777492093424582,0.48979591836734687,0.6910994764397905,0.3793103448275862,0.9761880738573302,0.023811926142669762,0.6206896551724138,0.06759267451119172,11303,0.06141411130979979,0.577194243696949,0.039159208617694966,0.5828238975261563
NeuralNetTorch,NeuralNetTorch,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.9047155622401133,0.7539349129667837,0.5887743413516611,0.628361858190709,0.5538793103448276,0.9539905155887398,0.04600948441126022,0.44612068965517243,0.10855525081836681,11303,0.0388489715412792,0.727996712256427,0.0418766527975164,0.6951303363533886
LightGBMLarge,LightGBMLarge,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.9036538971954349,0.6712029809557939,0.4811815150071463,0.7142857142857143,0.36278735632183906,0.9796186055897488,0.020381394410251236,0.6372126436781609,0.0625497655489693,11303,0.01021590833830055,0.7312478434194009,0.025040008576282094,0.6836843185383495
WeightedEnsemble_L2,WeightedEnsemble_L2,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.9077236132000354,0.7087207250854444,0.5427444103463394,0.6962879640044994,0.444683908045977,0.9727575421249117,0.027242457875088284,0.555316091954023,0.07865168539325842,11303,0.048100403869634656,0.6783372597751142,0.034866478375176355,0.6602644363199279
KNeighborsUnif,KNeighborsUnif,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['job'], 'process_protected': 'none'}","{('blue-collar',): 9732, ('management',): 9458, ('technician',): 7597, ('admin.',): 5171, ('services',): 4154, ('retired',): 2264, ('self-employed',): 1579, ('entrepreneur',): 1487, ('unemployed',): 1303, ('housemaid',): 1240, ('student',): 938, ('unknown',): 288}",d7851af17ed6904f86fdc5da34fb6d2c,ef3ffa8614ff72b0f88cd98691c37823,0.8790586569937184,0.6158061416143911,0.3518255097202465,0.5174337517433751,0.2665229885057471,0.9650892947230351,0.034910705276964986,0.7334770114942529,0.06343448641953464,11303,0.21627961529439366,0.09798270893371758,0.06386393536749115,0.22711604749138262
